"role","animation","source_file","row","col","source_x","source_y","tile_size","non_transparent_pixels","output_path"
"boss","walk_down_0","boss.png","0","0","33","10","60x115","4250","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_down_0.png"
"boss","walk_down_1","boss.png","0","1","159","10","63x115","4235","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_down_1.png"
"boss","walk_down_2","boss.png","0","2","288","10","61x115","4245","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_down_2.png"
"boss","walk_down_3","boss.png","0","3","415","10","64x115","4234","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_down_3.png"
"boss","walk_up_0","boss.png","1","0","33","139","60x114","4144","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_up_0.png"
"boss","walk_up_1","boss.png","1","1","161","139","61x114","4184","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_up_1.png"
"boss","walk_up_2","boss.png","1","2","288","139","60x114","4127","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_up_2.png"
"boss","walk_up_3","boss.png","1","3","415","139","62x114","4226","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_up_3.png"
"boss","walk_right_0","boss.png","2","0","36","267","51x114","3450","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_right_0.png"
"boss","walk_right_1","boss.png","2","1","162","267","55x114","3509","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_right_1.png"
"boss","walk_right_2","boss.png","2","2","293","267","50x115","3460","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_right_2.png"
"boss","walk_right_3","boss.png","2","3","419","266","54x115","3369","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_right_3.png"
"boss","walk_left_0","boss.png","3","0","41","394","48x116","3361","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_left_0.png"
"boss","walk_left_1","boss.png","3","1","164","394","52x116","3451","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_left_1.png"
"boss","walk_left_2","boss.png","3","2","295","394","50x116","3491","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_left_2.png"
"boss","walk_left_3","boss.png","3","3","425","394","50x116","3398","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/walk_left_3.png"
"boss","sit_down_0","boss.png","4","0","28","543","72x133","5963","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sit_down_0.png"
"boss","sit_down_1","boss.png","4","1","159","543","69x133","5897","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sit_down_1.png"
"boss","sit_up_0","boss.png","4","2","284","540","72x130","5811","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sit_up_0.png"
"boss","sit_up_1","boss.png","4","3","410","541","71x129","5744","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sit_up_1.png"
"boss","sit_right_0","boss.png","4","4","540","540","71x133","4755","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sit_right_0.png"
"boss","sit_right_1","boss.png","4","5","669","540","71x133","4785","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sit_right_1.png"
"boss","sit_left_0","boss.png","4","6","796","540","71x133","4755","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sit_left_0.png"
"boss","sit_left_1","boss.png","4","7","924","540","72x133","4772","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sit_left_1.png"
"boss","sleep_down_0","boss.png","5","0","33","758","63x110","4780","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sleep_down_0.png"
"boss","sleep_down_1","boss.png","5","1","159","758","64x110","4813","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sleep_down_1.png"
"boss","sleep_up_0","boss.png","5","2","284","730","72x132","5973","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sleep_up_0.png"
"boss","sleep_up_1","boss.png","5","3","410","740","71x122","5503","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sleep_up_1.png"
"boss","sleep_right_0","boss.png","5","4","540","743","77x125","4852","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sleep_right_0.png"
"boss","sleep_right_1","boss.png","5","5","663","745","77x123","4826","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sleep_right_1.png"
"boss","sleep_left_0","boss.png","5","6","796","743","77x125","4930","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sleep_left_0.png"
"boss","sleep_left_1","boss.png","5","7","919","742","77x125","4896","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/sleep_left_1.png"
"boss","coffee_down_0","boss.png","7","0","28","896","68x128","5407","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/coffee_down_0.png"
"boss","coffee_down_1","boss.png","7","1","154","896","69x128","5404","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/coffee_down_1.png"
"boss","coffee_up_0","boss.png","7","2","289","896","69x128","5498","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/coffee_up_0.png"
"boss","coffee_up_1","boss.png","7","3","412","896","69x128","5486","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/coffee_up_1.png"
"boss","coffee_right_0","boss.png","7","4","555","896","57x128","3909","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/coffee_right_0.png"
"boss","coffee_right_1","boss.png","7","5","668","896","57x128","3843","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/coffee_right_1.png"
"boss","coffee_left_0","boss.png","7","6","812","896","56x128","3918","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/coffee_left_0.png"
"boss","coffee_left_1","boss.png","7","7","924","896","57x128","3866","C:\Users\Abhi7\OneDrive\Desktop\office\assets\source\characters\boss/boss/coffee_left_1.png"
