"row","col","source_name","category","output_size","non_transparent_pixels","status","output_path"
"1","1","desk_simple","desks","64x64","11256","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_simple.png"
"1","2","desk_metal","desks","64x64","10931","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_metal.png"
"1","3","table_round","tables","64x64","6278","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/tables/table_round.png"
"1","4","desk_small_drawer","desks","64x64","10080","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_small_drawer.png"
"1","5","desk_l_shape","desks","64x64","12624","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_l_shape.png"
"1","6","desk_compact","desks","64x64","5894","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_compact.png"
"1","7","desk_lamp","utilities","64x64","11560","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/desk_lamp.png"
"1","8","desk_workbench","desks","64x64","10356","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_workbench.png"
"2","1","desk_pc_old","desks","64x64","12990","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_pc_old.png"
"2","2","desk_pc_basic","desks","64x64","12465","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_pc_basic.png"
"2","3","desk_laptop","desks","64x64","11633","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_laptop.png"
"2","4","desk_dual_monitor","desks","64x64","13675","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_dual_monitor.png"
"2","5","desk_laptop_small","desks","64x64","11488","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_laptop_small.png"
"2","6","desk_tablet","desks","64x64","12804","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_tablet.png"
"2","7","desk_pc_modern","desks","64x64","12769","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_pc_modern.png"
"2","8","desk_empty","desks","64x64","12526","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_empty.png"
"3","2","chair_boss_brown","chairs","64x64","7416","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_boss_brown.png"
"3","3","chair_office_basic","chairs","64x64","4820","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_office_basic.png"
"3","4","chair_mesh","chairs","64x64","6202","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_mesh.png"
"3","6","stool","chairs","64x64","4372","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/stool.png"
"3","7","chair_wood","chairs","64x64","5859","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_wood.png"
"3","8","chair_lounge","chairs","64x64","6949","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_lounge.png"
"4","1","desk_corner_l","desks","64x64","12886","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_corner_l.png"
"4","2","desk_reception_small","infrastructure","64x64","10581","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/infrastructure/desk_reception_small.png"
"4","3","meeting_table_large","tables","64x64","10986","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/tables/meeting_table_large.png"
"4","4","meeting_table_small","tables","64x64","11026","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/tables/meeting_table_small.png"
"4","5","carpet_rect","utilities","64x64","12242","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/carpet_rect.png"
