"role","animation","source_file","row","col","source_x","source_y","tile_size","non_transparent_pixels","output_path"
"executive","walk_down_0","topexectuivegreyonly.png","0","0","33","10","60x115","4249","assets/source/characters/executive/walk_down_0.png"
"executive","walk_down_1","topexectuivegreyonly.png","0","1","159","10","63x115","4236","assets/source/characters/executive/walk_down_1.png"
"executive","walk_down_2","topexectuivegreyonly.png","0","2","288","10","61x115","4247","assets/source/characters/executive/walk_down_2.png"
"executive","walk_down_3","topexectuivegreyonly.png","0","3","415","10","63x115","4235","assets/source/characters/executive/walk_down_3.png"
"executive","walk_up_0","topexectuivegreyonly.png","1","0","33","139","60x114","4140","assets/source/characters/executive/walk_up_0.png"
"executive","walk_up_1","topexectuivegreyonly.png","1","1","161","139","61x114","4201","assets/source/characters/executive/walk_up_1.png"
"executive","walk_up_2","topexectuivegreyonly.png","1","2","288","139","61x114","4156","assets/source/characters/executive/walk_up_2.png"
"executive","walk_up_3","topexectuivegreyonly.png","1","3","415","139","62x114","4221","assets/source/characters/executive/walk_up_3.png"
"executive","walk_right_0","topexectuivegreyonly.png","2","0","36","267","51x115","3473","assets/source/characters/executive/walk_right_0.png"
"executive","walk_right_1","topexectuivegreyonly.png","2","1","162","267","55x114","3509","assets/source/characters/executive/walk_right_1.png"
"executive","walk_right_2","topexectuivegreyonly.png","2","2","293","267","50x115","3491","assets/source/characters/executive/walk_right_2.png"
"executive","walk_right_3","topexectuivegreyonly.png","2","3","419","266","55x115","3420","assets/source/characters/executive/walk_right_3.png"
"executive","walk_left_0","topexectuivegreyonly.png","3","0","42","394","47x116","3407","assets/source/characters/executive/walk_left_0.png"
"executive","walk_left_1","topexectuivegreyonly.png","3","1","165","394","51x116","3495","assets/source/characters/executive/walk_left_1.png"
"executive","walk_left_2","topexectuivegreyonly.png","3","2","295","394","50x116","3532","assets/source/characters/executive/walk_left_2.png"
"executive","walk_left_3","topexectuivegreyonly.png","3","3","425","394","50x115","3415","assets/source/characters/executive/walk_left_3.png"
"executive","sit_down_0","topexectuivegreyonly.png","4","0","28","543","72x133","5968","assets/source/characters/executive/sit_down_0.png"
"executive","sit_down_1","topexectuivegreyonly.png","4","1","159","543","69x133","5916","assets/source/characters/executive/sit_down_1.png"
"executive","sit_up_0","topexectuivegreyonly.png","4","2","284","541","72x129","5803","assets/source/characters/executive/sit_up_0.png"
"executive","sit_up_1","topexectuivegreyonly.png","4","3","410","540","72x130","5743","assets/source/characters/executive/sit_up_1.png"
"executive","sit_right_0","topexectuivegreyonly.png","4","4","540","540","72x133","4777","assets/source/characters/executive/sit_right_0.png"
"executive","sit_right_1","topexectuivegreyonly.png","4","5","669","540","71x133","4780","assets/source/characters/executive/sit_right_1.png"
"executive","sit_left_0","topexectuivegreyonly.png","4","6","796","540","72x133","4782","assets/source/characters/executive/sit_left_0.png"
"executive","sit_left_1","topexectuivegreyonly.png","4","7","925","540","71x133","4758","assets/source/characters/executive/sit_left_1.png"
"executive","sleep_down_0","topexectuivegreyonly.png","5","0","34","758","62x110","4736","assets/source/characters/executive/sleep_down_0.png"
"executive","sleep_down_1","topexectuivegreyonly.png","5","1","160","758","63x110","4781","assets/source/characters/executive/sleep_down_1.png"
"executive","sleep_up_0","topexectuivegreyonly.png","5","2","284","730","72x132","5967","assets/source/characters/executive/sleep_up_0.png"
"executive","sleep_up_1","topexectuivegreyonly.png","5","3","410","740","72x122","5490","assets/source/characters/executive/sleep_up_1.png"
"executive","sleep_right_0","topexectuivegreyonly.png","5","4","540","743","77x125","4887","assets/source/characters/executive/sleep_right_0.png"
"executive","sleep_right_1","topexectuivegreyonly.png","5","5","663","745","77x123","4843","assets/source/characters/executive/sleep_right_1.png"
"executive","sleep_left_0","topexectuivegreyonly.png","5","6","796","742","77x126","4933","assets/source/characters/executive/sleep_left_0.png"
"executive","sleep_left_1","topexectuivegreyonly.png","5","7","919","742","77x126","4917","assets/source/characters/executive/sleep_left_1.png"
"executive","coffee_down_0","topexectuivegreyonly.png","7","0","28","896","68x128","5441","assets/source/characters/executive/coffee_down_0.png"
"executive","coffee_down_1","topexectuivegreyonly.png","7","1","154","896","69x128","5432","assets/source/characters/executive/coffee_down_1.png"
"executive","coffee_up_0","topexectuivegreyonly.png","7","2","289","896","69x128","5480","assets/source/characters/executive/coffee_up_0.png"
"executive","coffee_up_1","topexectuivegreyonly.png","7","3","412","896","69x128","5471","assets/source/characters/executive/coffee_up_1.png"
"executive","coffee_right_0","topexectuivegreyonly.png","7","4","556","896","59x128","4091","assets/source/characters/executive/coffee_right_0.png"
"executive","coffee_right_1","topexectuivegreyonly.png","7","5","665","896","60x128","4090","assets/source/characters/executive/coffee_right_1.png"
"executive","coffee_left_0","topexectuivegreyonly.png","7","6","811","896","60x128","4101","assets/source/characters/executive/coffee_left_0.png"
"executive","coffee_left_1","topexectuivegreyonly.png","7","7","921","896","60x128","4120","assets/source/characters/executive/coffee_left_1.png"
