"role","animation","source_file","row","col","source_x","source_y","tile_size","non_transparent_pixels","output_path"
"boss","walk_down_0","boss.png","0","0","33","10","60x115","4250","assets/source/characters/boss/walk_down_0.png"
"boss","walk_down_1","boss.png","0","1","159","10","63x115","4235","assets/source/characters/boss/walk_down_1.png"
"boss","walk_down_2","boss.png","0","2","288","10","61x115","4245","assets/source/characters/boss/walk_down_2.png"
"boss","walk_down_3","boss.png","0","3","415","10","64x115","4234","assets/source/characters/boss/walk_down_3.png"
"boss","walk_up_0","boss.png","1","0","33","139","60x114","4144","assets/source/characters/boss/walk_up_0.png"
"boss","walk_up_1","boss.png","1","1","161","139","61x114","4184","assets/source/characters/boss/walk_up_1.png"
"boss","walk_up_2","boss.png","1","2","288","139","60x114","4127","assets/source/characters/boss/walk_up_2.png"
"boss","walk_up_3","boss.png","1","3","415","139","62x114","4226","assets/source/characters/boss/walk_up_3.png"
"boss","walk_right_0","boss.png","2","0","36","267","51x114","3450","assets/source/characters/boss/walk_right_0.png"
"boss","walk_right_1","boss.png","2","1","162","267","55x114","3509","assets/source/characters/boss/walk_right_1.png"
"boss","walk_right_2","boss.png","2","2","293","267","50x115","3460","assets/source/characters/boss/walk_right_2.png"
"boss","walk_right_3","boss.png","2","3","419","266","54x115","3369","assets/source/characters/boss/walk_right_3.png"
"boss","walk_left_0","boss.png","3","0","41","394","48x116","3361","assets/source/characters/boss/walk_left_0.png"
"boss","walk_left_1","boss.png","3","1","164","394","52x116","3451","assets/source/characters/boss/walk_left_1.png"
"boss","walk_left_2","boss.png","3","2","295","394","50x116","3491","assets/source/characters/boss/walk_left_2.png"
"boss","walk_left_3","boss.png","3","3","425","394","50x116","3398","assets/source/characters/boss/walk_left_3.png"
"boss","sit_down_0","boss.png","4","0","28","543","72x133","5963","assets/source/characters/boss/sit_down_0.png"
"boss","sit_down_1","boss.png","4","1","159","543","69x133","5897","assets/source/characters/boss/sit_down_1.png"
"boss","sit_up_0","boss.png","4","2","284","540","72x130","5811","assets/source/characters/boss/sit_up_0.png"
"boss","sit_up_1","boss.png","4","3","410","541","71x129","5744","assets/source/characters/boss/sit_up_1.png"
"boss","sit_right_0","boss.png","4","4","540","540","71x133","4755","assets/source/characters/boss/sit_right_0.png"
"boss","sit_right_1","boss.png","4","5","669","540","71x133","4785","assets/source/characters/boss/sit_right_1.png"
"boss","sit_left_0","boss.png","4","6","796","540","71x133","4755","assets/source/characters/boss/sit_left_0.png"
"boss","sit_left_1","boss.png","4","7","924","540","72x133","4772","assets/source/characters/boss/sit_left_1.png"
"boss","sleep_down_0","boss.png","5","0","33","758","63x110","4780","assets/source/characters/boss/sleep_down_0.png"
"boss","sleep_down_1","boss.png","5","1","159","758","64x110","4813","assets/source/characters/boss/sleep_down_1.png"
"boss","sleep_up_0","boss.png","5","2","284","730","72x132","5973","assets/source/characters/boss/sleep_up_0.png"
"boss","sleep_up_1","boss.png","5","3","410","740","71x122","5503","assets/source/characters/boss/sleep_up_1.png"
"boss","sleep_right_0","boss.png","5","4","540","743","77x125","4852","assets/source/characters/boss/sleep_right_0.png"
"boss","sleep_right_1","boss.png","5","5","663","745","77x123","4826","assets/source/characters/boss/sleep_right_1.png"
"boss","sleep_left_0","boss.png","5","6","796","743","77x125","4930","assets/source/characters/boss/sleep_left_0.png"
"boss","sleep_left_1","boss.png","5","7","919","742","77x125","4896","assets/source/characters/boss/sleep_left_1.png"
"boss","coffee_down_0","boss.png","7","0","28","896","68x128","5407","assets/source/characters/boss/coffee_down_0.png"
"boss","coffee_down_1","boss.png","7","1","154","896","69x128","5404","assets/source/characters/boss/coffee_down_1.png"
"boss","coffee_up_0","boss.png","7","2","289","896","69x128","5498","assets/source/characters/boss/coffee_up_0.png"
"boss","coffee_up_1","boss.png","7","3","412","896","69x128","5486","assets/source/characters/boss/coffee_up_1.png"
"boss","coffee_right_0","boss.png","7","4","555","896","57x128","3909","assets/source/characters/boss/coffee_right_0.png"
"boss","coffee_right_1","boss.png","7","5","668","896","57x128","3843","assets/source/characters/boss/coffee_right_1.png"
"boss","coffee_left_0","boss.png","7","6","812","896","56x128","3918","assets/source/characters/boss/coffee_left_0.png"
"boss","coffee_left_1","boss.png","7","7","924","896","57x128","3866","assets/source/characters/boss/coffee_left_1.png"
"executive","walk_down_0","topexectuivegreyonly.png","0","0","33","10","60x115","4249","assets/source/characters/executive/walk_down_0.png"
"executive","walk_down_1","topexectuivegreyonly.png","0","1","159","10","63x115","4236","assets/source/characters/executive/walk_down_1.png"
"executive","walk_down_2","topexectuivegreyonly.png","0","2","288","10","61x115","4247","assets/source/characters/executive/walk_down_2.png"
"executive","walk_down_3","topexectuivegreyonly.png","0","3","415","10","63x115","4235","assets/source/characters/executive/walk_down_3.png"
"executive","walk_up_0","topexectuivegreyonly.png","1","0","33","139","60x114","4140","assets/source/characters/executive/walk_up_0.png"
"executive","walk_up_1","topexectuivegreyonly.png","1","1","161","139","61x114","4201","assets/source/characters/executive/walk_up_1.png"
"executive","walk_up_2","topexectuivegreyonly.png","1","2","288","139","61x114","4156","assets/source/characters/executive/walk_up_2.png"
"executive","walk_up_3","topexectuivegreyonly.png","1","3","415","139","62x114","4221","assets/source/characters/executive/walk_up_3.png"
"executive","walk_right_0","topexectuivegreyonly.png","2","0","36","267","51x115","3473","assets/source/characters/executive/walk_right_0.png"
"executive","walk_right_1","topexectuivegreyonly.png","2","1","162","267","55x114","3509","assets/source/characters/executive/walk_right_1.png"
"executive","walk_right_2","topexectuivegreyonly.png","2","2","293","267","50x115","3491","assets/source/characters/executive/walk_right_2.png"
"executive","walk_right_3","topexectuivegreyonly.png","2","3","419","266","55x115","3420","assets/source/characters/executive/walk_right_3.png"
"executive","walk_left_0","topexectuivegreyonly.png","3","0","42","394","47x116","3407","assets/source/characters/executive/walk_left_0.png"
"executive","walk_left_1","topexectuivegreyonly.png","3","1","165","394","51x116","3495","assets/source/characters/executive/walk_left_1.png"
"executive","walk_left_2","topexectuivegreyonly.png","3","2","295","394","50x116","3532","assets/source/characters/executive/walk_left_2.png"
"executive","walk_left_3","topexectuivegreyonly.png","3","3","425","394","50x115","3415","assets/source/characters/executive/walk_left_3.png"
"executive","sit_down_0","topexectuivegreyonly.png","4","0","28","543","72x133","5968","assets/source/characters/executive/sit_down_0.png"
"executive","sit_down_1","topexectuivegreyonly.png","4","1","159","543","69x133","5916","assets/source/characters/executive/sit_down_1.png"
"executive","sit_up_0","topexectuivegreyonly.png","4","2","284","541","72x129","5803","assets/source/characters/executive/sit_up_0.png"
"executive","sit_up_1","topexectuivegreyonly.png","4","3","410","540","72x130","5743","assets/source/characters/executive/sit_up_1.png"
